iter	RMSE
0	0.3147251071
1	0.313287970422	0.312092971433	0.311159344444	0.31041121745	0.3101420948
6	0.3096570289
7	0.3091528863
8	0.308724249
9	0.3083744924
10	0.308091629
11	0.3077991978
12	0.3075560877
13	0.3073317644
14	0.3071139172
15	0.3069180549
16	0.3067270563
17	0.3065636369
18	0.3064376095
19	0.3063275833
20	0.3061755645
21	0.3060582697
22	0.3059405581
23	0.3057463545
24	0.3056054917
25	0.3054962886
26	0.3053255263
27	0.3051964205
28	0.305104054
29	0.3050069984
30	0.3049227323
31	0.304796992
32	0.304728
33	0.3046510305
34	0.3045257425
35	0.3044432299
36	0.304383906
37	0.3043147207
38	0.3042411735
39	0.3041022699
40	0.3040146492
41	0.3039515978
42	0.3038952276
43	0.3038333692
44	0.3037693286
45	0.3037012148
46	0.303593306
47	0.3035437147
48	0.3034684413
49	0.3034222564
50	0.3033242691
51	0.3032895779
52	0.3032049773
53	0.3031247429
54	0.3030427211
55	0.3029945279
56	0.3029330584
57	0.3028541994
58	0.3027841546
59	0.3027549308
60	0.3026712558
61	0.3026301684
62	0.3025310767
63	0.3024790344
64	0.3024279189
65	0.3023775022
66	0.302334748
67	0.3023222179
68	0.3022689932
69	0.3022453627
70	0.3022211063
71	0.3021800774
72	0.3021212476
73	0.3020879756
74	0.3020762718
75	0.3020402828
76	0.3020019943
77	0.3019712913
78	0.3019307213
79	0.3019175804
80	0.301890967
81	0.3018501812
82	0.3017936969
83	0.3017300061
84	0.3017029473
85	0.3016803404
86	0.3016437871
87	0.3015982611
88	0.3015622945
89	0.3015303019
90	0.3014697592
91	0.3014458968
92	0.3014184451
93	0.3013978214
94	0.3013903502
95	0.301365049
96	0.3013297734
97	0.3013115734
98	0.3012774002
99	0.3012521817
100	0.3012159476
101	0.301179818
102	0.3011593816
103	0.3011269049
104	0.3010937075
105	0.3010633134
106	0.3010409904
107	0.3010337961
108	0.3010251997
109	0.3009683175
110	0.3009227309
111	0.3009101092
112	0.3008718317
113	0.3008400594
114	0.3008076547
115	0.3007628731
116	0.3007259299
117	0.3006953978
118	0.3006758979
119	0.3006491556
120	0.3006408619
121	0.3006005569
122	0.30056762
123	0.3005337386
124	0.3005227647
125	0.300483555
126	0.3004751107
127	0.3004565468
128	0.3004339446
129	0.3004018441
130	0.3003831566
131	0.3003751863
132	0.3003499361
133	0.3003218875
134	0.30031122
135	0.3002939515
136	0.3002772433
137	0.3002601572
138	0.3002267122
139	0.3002123957
140	0.3002003747
141	0.3001829738
142	0.3001613256
143	0.3001181161
144	0.3000894554
145	0.3000796482
146	0.3000699597
147	0.3000549482
148	0.3000451514
149	0.3000282658
150	0.3000192154
151	0.3000047133
152	0.2999751778
153	0.2999638302
154	0.2999553811
155	0.2999365684
156	0.2999203255
157	0.2999071954
158	0.2998781168
159	0.2998696963
160	0.2998593083
161	0.2998507802
162	0.2998317398
163	0.2998077626
164	0.2997977635
165	0.2997920863
166	0.2997717085
167	0.2997586261
168	0.2997520259
169	0.2997295824
170	0.2997248902
171	0.2997108159
172	0.2996799632
173	0.2996654973
174	0.299643698
175	0.2996393703
176	0.2996344573
177	0.2996225167
178	0.2995992174
179	0.2995884993
180	0.299581857
181	0.2995595837
182	0.299554729
183	0.2995485187
184	0.2995352141
185	0.2995258404
186	0.299508163
187	0.299496466
188	0.2994687944
189	0.2994565273
190	0.2994446205
191	0.2994234423
192	0192	0.299473193	193	0.2994490194	194	0.2994426195	195	0.2994336196	196	0.2994316197	197	0.2994190198	198	0.2993921199	199	0.299368200	0.2993162762
201	0.2993083778
202	0.2992836922
203	0.2992730704
204	0.2992485914
205	0.2992418102
206	0.2992117939
207	0.2992046049
208	0.2991717362
209	0.2991658641
210	0.2991592922
211	0.2991551613
212	0.2991437837
213	0.2991314287
214	0.2991078301
215	0.2990908776
216	0.2990833624
217	0.2990799818
218	0.2990634906
219	0.2990569553
220	0.2990469495
221	0.2990417161
222	0.2990286968
223	0.2990151151
224	0.299005127
225225	0.29897116226226	0.29894708227227	0.2989399622228	0.298929795229	0.2989603586
2230	0.2989053102231	0.2989281503
232	0.298921015
233	0.2989060742
234	0.2988976861
235	0.2988865019
236	0.2988596714
237	0.2988496317
23238	0.298799597239	0.2988120246
240	0.2988040691
241	0.2987974537
242	0.2987899626
243	0.2987833064
244	0.2987746442
245	0.2987557852
246	0.2987496511
247	0.2987466524248	0.2986666501
2249	0.298726927
250	0.2987200072
251	0.2987133721
252	0.2986976551
253	0.2986914407
254	0.2986809713
255	0.2985989265
256	0.2986710705
257	0.2986680859
258	0.2986552416
259	0.2985688956
260	0.2985462712261	0.2986341351
262	0.2986256813
263	0.2986200106
264	0.2986122565
265	0.2986050139
266	0.2985986406
267	0.298589764
268	0.2985803622
269	0.2985726909
270	0.298565686
271271	0.29844724272	0.298542911
273	0.298538472
274	0.2985316074
275	0.2985266394
276	0.2985061988
277277	0.29835524278278	0.29834788279279	0.29834169280280	0.2983366281	281	0.2983299282	282	0.2983194283	283	0.2983027284	284	0.2983006285	285	0.298295286	0286	0.298282287	0287	0.298273288	0288	0.298267289	0289	0.298260290	0290	0.298254291	0291	0.298248292	0292	0.298241293	293	0.2982384294	294	0.2982356295	295	0.2982272296	296	0.2982205297	297	0.2982155298	298	0.2982139443
299	0.2981956848
300	0.2981862301	301	0.2981812939
302	0.298174806
303	0.2981685053
304	0.2981540378
305	0.2981483916
306	0.2981409653
307	0.2981335807
308	0.2981208430309	0.29811433531310	0.2981089429
311	0.2981044498
312	0.2980997262
313	0.2980921614
314	0.2980871547
315	0.2980862496
316	0.2980774842
317	0.2980701997
318	0.2980346463
319	0.2980171081
320	0.2980105839
321	0.2980029376
322	0.297988739
323	0.2979720406
324	0.2979571215
325	0.2979510622
326	0.2979458595
327	0.2979260858
328	0.2979179018
329	0.297911048
330	0.2978971361
331	0.297890364
332	0.2978740697
333	0.2978674469
334	0.2978465415
335	0.2978356566
336	0.2978208449
337	0.297807368
338	0.2977882889
339	0.2977737588
340	0.2977676747
341	0.2977595951
342	0.297733103
343	0.2977220567
344	0.2977184766
345	0.2977087599
346	0.2977007613
347	0.2976937704
348	0.2976893912
349	0.2976834798
350	0.2976769209
351	0.2976709511
352	0.2976641708
353	0.2976567009
354	0.2976521349
355	0.2976469738
356	0.2976462195
357	0.2976424368
358	0.2976388579
359	0.2976297976
360	0.2976060825
361	0.2975983813
362	0.2975974822
363	0.2975875517
364	0.2975735355
365	0.2975636068
366	0.2975591015
367	0.2975530105
368	0.2975490327
369	0.2975429149
370	0.2975402781
371	0.2975354963
372	0.297530301
373	0.2975248794
374	0.2975187705
375	0.2975140585
376	0.2975041568
377	0.2974971503
378	0.2974905347
379	0.2974847247
380	0.2974793531
381	0.2974726393
382	0.2974659217
383	0.2974618591
384	0.2974542004
385	0.2974537582
386	0.2974484902
387	0.2974423045
388	0.2974364059
389	0.2974276548
390	0.2974221184
391	0.2974169957
392	0.2974096223
393	0.2974021542
394	0.2973754511
395	0.2973707115
396	0.2973638003
397	0.2973605025
398	0.2973574911
399	0.2973358365
400	0.297330321
401	0.2973255667
402	0.2973189756
403	0.2973106596
404	0.2973050994
405	0.2973014593
406	0.2972981633
407	0.2972935771
408	0.2972897888
409	0.2972771211
410	0.2972672419
411	0.2972604337
412	0.2972500765
413	0.2972448402
414	0.2972385709
415	0.2972370974
416	0.2972309839
417	0.2972233534
418	0.2972177823
419	0.297211962
420	0.2971928654
421	0.2971876439
422	0.2971815197
423	0.2971765451
424	0.297165988
425	0.2971617
426	0.2971539992
427	0.2971489428
428	0.2971450647
429	0.2971392004
430	0.297135832
431	0.297129382
432	0.2971240031
433	0.2971170326
434	0.2971111139
435	0.2971044957
436	0.2970986693
437	0.2970934472
438	0.2970896223
439	0.297082737
440	0.2970613663
441	0.2970585489
442	0.2970543152
443	0.2970467489
444	0.2970326133
445	0.2970208356
446	0.2970127615
447	0.2969936294
448	0.2969885565
449	0.2969836962
450	0.2969776389
451	0.2969719251
452	0.2969679156
453	0.2969605097
454	0.2969522812
455	0.296941387
456	0.2969310183
457	0.2969040133
458	0.2968947226
459	0.2968870385
460	0.2968841602
461	0.2968770352
462	0.296863309
463	0.296860844
464	0.2968550347
465	0.29684934
466	0.2968455517
467	0.2968429406
468	0.2968372873
469	0.2968262318
470	0.2968109758
471	0.2968044052
472	0.2967993353
473	0.2967923288
474	0.2967847467
475	0.2967632885
476	0.2967598072
477	0.2967527893
478	0.296749369
479	0.2967332615
480	0.2967295754
481	0.2967231688
482	0.2967174599
483	0.2967122695
484	0.2967059614
485	0.2966999422
486	0.2966952061
487	0.296686569
488	0.2966810776
489	0.2966765389
490	0.2966703463
491	0.2966537083
492	0.2966461701
493	0.2966410496
494	0.296636096
495	0.2966289276
496	0.2966180175
497	0.2966140163
498	0.2966049587
499	0.2966000524
500	0.2965853905
501	0.2965770867
502	0.2965728542
503	0.296568471
504	0.2965627599
505	0.2965547277
506	0.2965407623
507	0.2965339116
508	0.2965297724
509	0.2965258441
510	0.2965189241
511	0.2965144744
512	0.2965041777
513	0.2964989848
514	0.2964964751
515	0.2964840321
516	0.2964779662
517	0.2964718505
518	0.2964649734
519	0.2964609764
520	0.2964563315
521	0.296446921
522	0.2964402494
523	0.2964289199
524	0.2964241051
525	0.2964183101
526	0.2964132691
527	0.2964052723
528	0.2964037645
529	0.2963970213
530	0.2963952587
531	0.2963914935
532	0.2963850438
533	0.2963798382
534	0.2963733756
535	0.2963682715
536	0.2963640405
537	0.2963578038
538	0.2963485463
539	0.2963380523
540	0.2963329091
541	0.2963228877
542	0.2963181698
543	0.2963140759
544	0.2963069683
545	0.2963027051
546	0.2962971951
547	0.2962939097
548	0.2962854466
549	0.2962791487
550	0.2962741638
551	0.2962667348
552	0.2962585116
553	0.2962541823
554	0.2962496566
555	0.2962459047
556	0.2962421327
557	0.2962354994
558	0.2962234065
559	0.2962191359
560	0.2962133485
561	0.2962068899
562	0.296182974
563	0.2961785967
564	0.2961706831
565	0.2961665893
566	0.2961646907
567	0.2961560823
568	0.2961498667
569	0.2961465188
570	0.296139286
571	0.2961363446
572	0.2961316674
573	0.2961257671
574	0.2961148281
575	0.296108579
576	0.2960961565
577	0.2960899647
578	0.296083999
579	0.2960800623
580	0.2960765781
581	0.2960718596
582	0.2960659288
583	0.2960608101
584	0.2960547077
585	0.2960447315
586	0.2960392692
587	0.296034926
588	0.2960314059
589	0.2960105672
590	0.2960008465
591	0.2959962691
592	0.2959918742
593	0.2959865849
594	0.2959802776
595	0.295972624
596	0.2959668811
597	0.2959607068
598	0.2959565763
599	0.2959504878
600	0.2959461437
601	0.2959431915
602	0.2959392384
603	0.2959317914
604	0.2959269494
605	0.2959221346
606	0.2959163094
607	0.2959123416
608	0.2959089594
609	0.2959037471
610	0.2958980836
611	0.2958910574
612	0.2958843946
613	0.295880264
614	0.2958754296
615	0.29587163
616	0.2958657497
617	0.2958586085
618	0.2958527027
619	0.2958299743
620	0.2958259135
621	0.2958205878
622	0.2958078264
623	0.2958014318
624	0.2957978279
625	0.2957918825
626	0.2957852724
627	0.2957634018
628	0.2957455383
629	0.295740946
630	0.2957381322
631	0.29573196
632	0.2957226855
633	0.2957187385
634	0.2957142137
635	0.2957096291
636	0.2956952019
637	0.2956896388
638	0.2956861054
639	0.2956802158
640	0.2956750922
641	0.2956700776
642	0.2956651713
643	0.295660697
644	0.295656963
645	0.2956504917
646	0.2956437059
647	0.2956389692
648	0.2956344966
649	0.295628638
650	0.2956244935
651	0.2956179186
652	0.2956087098
653	0.2956044854
654	0.2955897139
655	0.2955717429
656	0.2955693559
657	0.2955652685
658	0.295559421
659	0.2955550478
660	0.2955451127
661	0.295537979
662	0.2955326294
663	0.2955268477
664	0.2955210379
665	0.2955182006
666	0.2955088254
667	0.2955032187
668	0.2954971199
669	0.2954925584
670	0.2954874481
671	0.2954827489
672	0.2954772704
673	0.2954726021
674	0.2954681051
675	0.2954643485
676	0.2954606962
677	0.2954544516
678	0.295449317
679	0.2954419575
680	0.2954379604
681	0.2954330635
682	0.2954272743
683	0.2954217371
684	0.2954185135
685	0.2954144453
686	0.295407063
687	0.2954026552
688	0.2953954921
689	0.2953832648
690	0.2953766177
691	0.2953705166
692	0.2953641917
693	0.2953589346
694	0.295355735
695	0.2953505281
696	0.2953332069
697	0.2953297448
698	0.2953256753
699	0.2953225153
700	0.2953191836
701	0.2953147115
702	0.295310141
703	0.2953066316
704	0.2953015063
705	0.2952959217
706	0.2952902017
707	0.2952837455
708	0.2952784378
709	0.2952714773
710	0.2952655261
711	0.2952631091
712	0.2952597143
713	0.2952529439
714	0.2952509041
715	0.2952449624
716	0.2952381649
717	0.2952351317
718	0.2952315085
719	0.2952195039
720	0.2952130888
721	0.2952063318
722	0.2952021211
723	0.2951981354
724	0.295183149
725	0.2951688912
726	0.2951666597
727	0.295146245
728	0.2951418999
729	0.2951359841
730	0.2951292708
731	0.2951243482
732	0.2951220983
733	0.2951133581
734	0.2951064338
735	0.2951004168
736	0.2950917086
737	0.2950869895
738	0.2950824811
739	0.295079083
740	0.2950736721
741	0.2950665898
742	0.2950617697
743	0.2950554512
744	0.2950528482
745	0.2950448039
746	0.2950389958
747	0.2950358529
748	0.2950314856
749	0.2950274063
750	0.2950222923
751	0.2950184522
752	0.2950155336
753	0.2950104579
754	0.2950049382
755	0.2949962431
756	0.2949910529
757	0.2949836876
758	0.2949783128
759	0.2949735547
760	0.2949677433
761	0.2949630316
762	0.2949596327
763	0.2949543824
764	0.2949502002
765	0.2949473334
766	0.2949457005
767	0.2949422624
768	0.2949374919
769	0.2949259022
770	0.2949200291
771	0.2949136225
772	0.2949106122
773	0.2949066786
774	0.2948985253
775	0.2948933491
776	0.2948899278
777	0.2948844365
778	0.2948808816
779	0.2948725776
780	0.2948677353
781	0.2948616583
782	0.2948584883
783	0.2948528508
784	0.2948475988
785	0.2948430571
786	0.2948396548
787	0.2948341748
788	0.294829135
789	0.2948237825
790	0.2948179992
791	0.2948130352
792	0.2948099901
793	0.2948062612
794	0.2948012923
795	0.2947967561
796	0.2947824534
797	0.2947752593
798	0.2947698389
799	0.2947651024
800	0.2947625992
801	0.2947584509
802	0.2947558422
803	0.2947522998
804	0.2947495439
805	0.2947448604
806	0.2947411161
807	0.2947351855
808	0.2947290612
809	0.2947232596
810	0.2947193607
811	0.2947161026
812	0.2947113325
813	0.2947063758
814	0.2947031039
815	0.2946986061
816	0.2946965341
817	0.2946929966
818	0.2946906917
819	0.294684813
820	0.2946802504
821	0.2946728396
822	0.294667342
823	0.2946612473
824	0.2946495827
825	0.2946446498
826	0.2946394747
827	0.2946322233
828	0.2946293733
829	0.294628021
830	0.2946258975
831	0.2946217964
832	0.2946161388
833	0.2946040928
834	0.2945970767
835	0.2945934987
836	0.2945870212
837	0.2945816155
838	0.2945759175
839	0.2945720771
840	0.2945666389
841	0.2945644592
842	0.2945609125
843	0.294556159
844	0.2945522331
845	0.2945498339
846	0.2945456889
847	0.2945403739
848	0.2945351637
849	0.294529977
850	0.2945247437
851	0.2945202445
852	0.2945156835
853	0.2945025694
854	0.2944971828
855	0.2944940817
856	0.2944894534
857	0.2944859339
858	0.2944798153
859	0.2944745743
860	0.2944672742
861	0.2944648804
862	0.2944490054
863	0.2944422126
864	0.2944366075
865	0.2944333075
866	0.294426931
867	0.294420098
868	0.2944152763
869	0.2944130555
870	0.2944107105
871	0.2944044649
872	0.2943948695
873	0.2943905893
874	0.2943865385
875	0.2943847779
876	0.2943726716
877	0.2943649106
878	0.2943599493
879	0.2943573288
880	0.2943520431
881	0.2943467568
882	0.2943420831
883	0.2943355181
884	0.2943307133
885	0.2943265388
886	0.2943234779
887	0.2943201035
888	0.2943150355
889	0.2943097029
890	0.2943079275
891	0.294303353
892	0.294298286
893	0.2942943788
894	0.2942891195
895	0.2942837982
896	0.2942792222
897	0.2942748503
898	0.2942650876
899	0.2942614981
900	0.2942570558
901	0.2942499798
902	0.2942441599
903	0.2942400131
904	0.294234868
905	0.2942290971
906	0.2942228259
907	0.2942176326
908	0.2942148397
909	0.2942092188
910	0.2942049896
911	0.2941943203
912	0.2941920865
913	0.2941857677
914	0.2941820869
915	0.294177141
916	0.2941723758
917	0.2941620247
918	0.2941593202
919	0.29415535
920	0.2941518545
921	0.2941481421
922	0.2941428621
923	0.294138616
924	0.2941346843
925	0.2941297161
926	0.2941261402
927	0.2941236952
928	0.2941193184
929	0.2941099146
930	0.2941071193
931	0.2941041398
932	0.2941004681
933	0.2940929275
934	0.2940885193
935	0.2940857623
936	0.2940799023
937	0.2940743315
938	0.2940715347
939	0.2940665581
940	0.2940608165
941	0.2940569912
942	0.2940514791
943	0.2940425932
944	0.2940390126
945	0.2940356135
946	0.2940305607
947	0.2940164825
948	0.2940134498
949	0.2940092505
950	0.2940056196
951	0.2940045853
952	0.2939988313
953	0.2939958067
954	0.2939924764
955	0.2939870526
956	0.2939820371
957	0.2939771925
958	0.2939729283
959	0.2939689313
960	0.2939634846
961	0.29395913
962	0.2939555276
963	0.2939507013
964	0.2939472541
965	0.293945666
966	0.2939425361
967	0.2939398489
968	0.293935097
969	0.2939308274
970	0.2939278994
971	0.2939231296
972	0.2939188411
973	0.2939135006
974	0.2939103394
975	0.2939071712
976	0.2939046372
977	0.2939014155
978	0.2938902139
979	0.2938872964
980	0.2938768893
981	0.2938729036
982	0.2938681198
983	0.2938621971
984	0.2938452748
985	0.2938403628
986	0.2938353993
987	0.2938311804
988	0.2938249291
989	0.293820337
990	0.2938154967
991	0.2938102298
992	0.2938047524
993	0.293799138
994	0.2937938052
995	0.2937884744
996	0.2937844372
997	0.2937804843
998	0.2937772923
999	0.293774546
